"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/06","US-CA","California","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1701639,"Population Working in the Accommodation and Food Services Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1125227,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",409386,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",921801,"Population Working in the Construction Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1490107,"Population Working in the Educational Services Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",2845390,"Population Working in the Health Care and Social Assistance Industry"
"geoId/06","US-CA","California","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1329620,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/06","US-CA","California","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",512989,"Population Working in the Finance and Insurance Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",571993,"Population Working in the Information Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",390806,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",17215,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",567819,"Population Working in Other Services, Except Public Administration"
"geoId/06","US-CA","California","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",869480,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/06","US-CA","California","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",114904,"Utilities Workers"
"geoId/06","US-CA","California","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1612810,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/06","US-CA","California","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",306149,"Real Estate and Rental and Leasing Workers"
"geoId/06","US-CA","California","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",870835,"Public Administration Workers"
"geoId/06","US-CA","California","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",666363,"Wholesale Trade Workers"
"geoId/06","US-CA","California","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1428731,"Professional, Scientific, and Technical Services Workers"
"geoId/06","US-CA","California","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",242931,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/06","US-CA","California","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",6705,"Unclassified Workers"
