"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",43331,"Population Working in the Accommodation and Food Services Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",29507,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",25386,"Population Working in the Construction Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",15941,"Population Working in the Educational Services Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",78707,"Population Working in the Health Care and Social Assistance Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",44409,"Population Working in the Finance and Insurance Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",9263,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",12388,"Population Working in Other Services, Except Public Administration"
"geoId/10","US-DE","Delaware","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",24911,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",2092,"Utilities Workers"
"geoId/10","US-DE","Delaware","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",51460,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",6095,"Real Estate and Rental and Leasing Workers"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",21022,"Public Administration Workers"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",12588,"Wholesale Trade Workers"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28143,"Professional, Scientific, and Technical Services Workers"
"geoId/10","US-DE","Delaware","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",7735,"Population Working in the Management of Companies and Enterprises Industry"
