"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",273630,"Population Working in the Accommodation and Food Services Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",181117,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",16505,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",162433,"Population Working in the Construction Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",247834,"Population Working in the Educational Services Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",466930,"Population Working in the Health Care and Social Assistance Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",103855,"Population Working in the Finance and Insurance Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",41715,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5495,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",92906,"Population Working in Other Services, Except Public Administration"
"geoId/18","US-IN","Indiana","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",183322,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",15067,"Utilities Workers"
"geoId/18","US-IN","Indiana","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",315753,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",37714,"Real Estate and Rental and Leasing Workers"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",131052,"Public Administration Workers"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",133423,"Wholesale Trade Workers"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",148453,"Professional, Scientific, and Technical Services Workers"
"geoId/18","US-IN","Indiana","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",34809,"Population Working in the Management of Companies and Enterprises Industry"
