"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",115635,"Population Working in the Accommodation and Food Services Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",72492,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSAgricultureForestryFishingHunting","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",12653,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",69557,"Population Working in the Construction Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",138840,"Population Working in the Educational Services Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",215378,"Population Working in the Health Care and Social Assistance Industry"
"geoId/20","US-KS","Kansas","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",174658,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",57261,"Population Working in the Finance and Insurance Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",19549,"Population Working in the Information Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",19992,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",6119,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",36303,"Population Working in Other Services, Except Public Administration"
"geoId/20","US-KS","Kansas","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",68747,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",7861,"Utilities Workers"
"geoId/20","US-KS","Kansas","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",141419,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSRealEstateRentalLeasing","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",15786,"Real Estate and Rental and Leasing Workers"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",83494,"Public Administration Workers"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",58991,"Wholesale Trade Workers"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",78986,"Professional, Scientific, and Technical Services Workers"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",22016,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/20","US-KS","Kansas","Count_Worker_NAICSNonclassifiable","2011-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",10,"Unclassified Workers"
