"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",81458,"Population Working in the Accommodation and Food Services Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",50628,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSAgricultureForestryFishingHunting","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",14775,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",59460,"Population Working in the Construction Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",94998,"Population Working in the Educational Services Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",152037,"Population Working in the Health Care and Social Assistance Industry"
"geoId/31","US-NE","Nebraska","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",104528,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",52612,"Population Working in the Finance and Insurance Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",17801,"Population Working in the Information Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",15545,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",981,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",27371,"Population Working in Other Services, Except Public Administration"
"geoId/31","US-NE","Nebraska","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",47148,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",7968,"Utilities Workers"
"geoId/31","US-NE","Nebraska","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",103084,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSRealEstateRentalLeasing","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",10674,"Real Estate and Rental and Leasing Workers"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",51788,"Public Administration Workers"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",41657,"Wholesale Trade Workers"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",50975,"Professional, Scientific, and Technical Services Workers"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",21618,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/31","US-NE","Nebraska","Count_Worker_NAICSNonclassifiable","2006-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",8,"Unclassified Workers"
