"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",310676,"Population Working in the Accommodation and Food Services Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",111073,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5413,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",110813,"Population Working in the Construction Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",85411,"Population Working in the Educational Services Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",160810,"Population Working in the Health Care and Social Assistance Industry"
"geoId/32","US-NV","Nevada","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",65892,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",42808,"Population Working in the Finance and Insurance Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",20605,"Population Working in the Information Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",41349,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",14573,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",37527,"Population Working in Other Services, Except Public Administration"
"geoId/32","US-NV","Nevada","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",101219,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5531,"Utilities Workers"
"geoId/32","US-NV","Nevada","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",150297,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",29163,"Real Estate and Rental and Leasing Workers"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",65588,"Public Administration Workers"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",42405,"Wholesale Trade Workers"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",71581,"Professional, Scientific, and Technical Services Workers"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",32485,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/32","US-NV","Nevada","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",17390,"Unclassified Workers"
