"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/36","US-NY","New York","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",746112,"Population Working in the Accommodation and Food Services Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",528863,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28741,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",390434,"Population Working in the Construction Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",952823,"Population Working in the Educational Services Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",1833600,"Population Working in the Health Care and Social Assistance Industry"
"geoId/36","US-NY","New York","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",418702,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/36","US-NY","New York","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",534459,"Population Working in the Finance and Insurance Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",287666,"Population Working in the Information Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",172569,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",4851,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",345307,"Population Working in Other Services, Except Public Administration"
"geoId/36","US-NY","New York","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",390877,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/36","US-NY","New York","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",38126,"Utilities Workers"
"geoId/36","US-NY","New York","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",843720,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/36","US-NY","New York","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",199511,"Real Estate and Rental and Leasing Workers"
"geoId/36","US-NY","New York","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",507985,"Public Administration Workers"
"geoId/36","US-NY","New York","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",311118,"Wholesale Trade Workers"
"geoId/36","US-NY","New York","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",719591,"Professional, Scientific, and Technical Services Workers"
"geoId/36","US-NY","New York","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",144029,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/36","US-NY","New York","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",53822,"Unclassified Workers"
