"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","Count_Person","1900","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",530000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1901","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",544000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1902","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",565000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1903","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",587000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1904","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",599000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1905","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",615000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1906","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",628000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1907","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",645000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1908","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",684000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1909","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",724000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1910","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",756000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1911","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",773000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1912","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",801000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1913","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",828000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1914","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",871000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1915","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",922000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1916","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",924000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1917","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",895000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1918","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",865000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1919","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",898000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1920","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",962000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1921","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",997000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1922","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1044000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1923","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1097000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1924","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1160000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1925","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1264000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1926","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1368000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1927","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1418000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1928","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1433000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1929","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1445000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1930","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1471000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1931","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1493000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1932","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1521000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1933","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1552000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1934","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1585000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1935","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1613000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1936","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1651000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1937","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1709000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1938","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1771000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1939","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1836000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1940","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",1915000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1941","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2017000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1942","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2151000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1943","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2451000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1944","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2420000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1945","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2465000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1946","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2440000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1947","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2528000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1948","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2578000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1949","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2668000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1950","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2810000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1951","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2980000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1952","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",3157000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1953","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",3310000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1954","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",3505000,"Total Population"
