BSI_time,BSI_greaterthan_5k,BSI_greaterthan_50k,BSI_greaterthan_100k,BSI_greaterthan_1million
1953 Aug,0.769230769230769,0.769230769230769,0.769230769230769,0
1953 Sep,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769
1953 Oct,0.769230769230769,0.769230769230769,0.769230769230769,0
1953 Nov,0.769230769230769,0.769230769230769,0.769230769230769,0
1953 Dec,0.769230769230769,0.769230769230769,0.769230769230769,0
1954 Jan,0.769230769230769,0.769230769230769,0.769230769230769,0
1954 Feb,0,0,0,0
1954 Mar,1.53846153846154,1.53846153846154,1.53846153846154,1.53846153846154
1954 Apr,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769
1954 May,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769
1954 Jun,1.53846153846154,1.53846153846154,1.53846153846154,1.53846153846154
1954 Jul,1.53846153846154,1.53846153846154,0.769230769230769,0
1954 Aug,2.30769230769231,1.53846153846154,0.769230769230769,0
1954 Sep,3.84615384615385,0.769230769230769,0.769230769230769,0
1954 Oct,3.84615384615385,3.84615384615385,3.84615384615385,0
1954 Nov,3.84615384615385,3.84615384615385,3.07692307692308,0
1954 Dec,4.61538461538461,3.84615384615385,3.84615384615385,0
1955 Jan,3.07692307692308,2.30769230769231,2.30769230769231,0
1955 Feb,2.30769230769231,2.30769230769231,2.30769230769231,0
1955 Mar,0,0,0,0
1955 Apr,0,0,0,0
1955 May,0,0,0,0
1955 Jun,0,0,0,0
1955 Jul,0,0,0,0
1955 Aug,0,0,0,0
1955 Sep,0,0,0,0
1955 Oct,0,0,0,0
1955 Nov,0,0,0,0
1955 Dec,0,0,0,0
1956 Jan,0,0,0,0
1956 Feb,0,0,0,0
1956 Mar,0,0,0,0
1956 Apr,0,0,0,0
1956 May,0,0,0,0
1956 Jun,0,0,0,0
1956 Jul,0,0,0,0
1956 Aug,0,0,0,0
1956 Sep,0,0,0,0
1956 Oct,0,0,0,0
1956 Nov,0,0,0,0
1956 Dec,0,0,0,0
1957 Jan,0,0,0,0
1957 Feb,0,0,0,0
1957 Mar,0,0,0,0
1957 Apr,0,0,0,0
1957 May,0,0,0,0
1957 Jun,0,0,0,0
1957 Jul,0,0,0,0
1957 Aug,0,0,0,0
1957 Sep,1.53846153846154,1.53846153846154,1.53846153846154,0.769230769230769
1957 Oct,8.46153846153846,6.92307692307692,6.92307692307692,3.07692307692308
1957 Nov,9.23076923076923,8.46153846153846,8.46153846153846,3.07692307692308
1957 Dec,8.46153846153846,7.69230769230769,6.92307692307692,0.769230769230769
1958 Jan,4.61538461538461,4.61538461538461,3.84615384615385,0
1958 Feb,1.53846153846154,0.769230769230769,0,0
1958 Mar,0,0,0,0
1958 Apr,0,0,0,0
1958 May,0,0,0,0
1958 Jun,0,0,0,0
1958 Jul,0,0,0,0
1958 Aug,0,0,0,0
1958 Sep,0,0,0,0
1958 Oct,0,0,0,0
1958 Nov,0,0,0,0
1958 Dec,0,0,0,0
1959 Jan,0,0,0,0
1959 Feb,0,0,0,0
1959 Mar,0,0,0,0
1959 Apr,0,0,0,0
1959 May,0,0,0,0
1959 Jun,0,0,0,0
1959 Jul,0,0,0,0
1959 Aug,0,0,0,0
1959 Sep,0.769230769230769,0.769230769230769,0,0
1959 Oct,3.84615384615385,2.30769230769231,1.53846153846154,0.769230769230769
1959 Nov,1.53846153846154,0.769230769230769,0.769230769230769,0.769230769230769
1959 Dec,1.53846153846154,1.53846153846154,0,0
1960 Jan,3.84615384615385,3.07692307692308,3.07692307692308,2.30769230769231
1960 Feb,3.07692307692308,3.07692307692308,2.30769230769231,1.53846153846154
1960 Mar,3.84615384615385,3.07692307692308,2.30769230769231,0
1960 Apr,1.53846153846154,0.769230769230769,0.769230769230769,0
1960 May,1.53846153846154,1.53846153846154,1.53846153846154,0
1960 Jun,1.53846153846154,0,0,0
1960 Jul,1.53846153846154,0.769230769230769,0.769230769230769,0
1960 Aug,0.769230769230769,0,0,0
1960 Sep,0,0,0,0
1960 Oct,0,0,0,0
1960 Nov,0,0,0,0
1960 Dec,0,0,0,0
1961 Jan,0,0,0,0
1961 Feb,0,0,0,0
1961 Mar,0,0,0,0
1961 Apr,0,0,0,0
1961 May,0,0,0,0
1961 Jun,0,0,0,0
1961 Jul,0,0,0,0
