"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",26993,"Population Working in the Accommodation and Food Services Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",10921,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSAgricultureForestryFishingHunting","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",1319,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",16740,"Population Working in the Construction Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",30438,"Population Working in the Educational Services Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",51684,"Population Working in the Health Care and Social Assistance Industry"
"geoId/02","US-AK","Alaska","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",11688,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",6185,"Population Working in the Finance and Insurance Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",4357,"Population Working in the Information Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",5576,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",12034,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",10489,"Population Working in Other Services, Except Public Administration"
"geoId/02","US-AK","Alaska","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",22221,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",2589,"Utilities Workers"
"geoId/02","US-AK","Alaska","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",34498,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSRealEstateRentalLeasing","2023-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",4920,"Real Estate and Rental and Leasing Workers"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",41499,"Public Administration Workers"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",6349,"Wholesale Trade Workers"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",14364,"Professional, Scientific, and Technical Services Workers"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",2990,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/02","US-AK","Alaska","Count_Worker_NAICSNonclassifiable","2023-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",341,"Unclassified Workers"
