"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",290250,"Population Working in the Accommodation and Food Services Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",158564,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",18246,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",189885,"Population Working in the Construction Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",235839,"Population Working in the Educational Services Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",377857,"Population Working in the Health Care and Social Assistance Industry"
"geoId/08","US-CO","Colorado","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",151527,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",113036,"Population Working in the Finance and Insurance Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",79921,"Population Working in the Information Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",68811,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",21586,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",89727,"Population Working in Other Services, Except Public Administration"
"geoId/08","US-CO","Colorado","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",116765,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",15666,"Utilities Workers"
"geoId/08","US-CO","Colorado","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",275908,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",58396,"Real Estate and Rental and Leasing Workers"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",160723,"Public Administration Workers"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",292956,"Professional, Scientific, and Technical Services Workers"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",46323,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/08","US-CO","Colorado","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",3165,"Unclassified Workers"
