"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",125441,"Population Working in the Accommodation and Food Services Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",90358,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5155,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",65710,"Population Working in the Construction Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",173547,"Population Working in the Educational Services Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",300999,"Population Working in the Health Care and Social Assistance Industry"
"geoId/09","US-CT","Connecticut","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",157938,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",96733,"Population Working in the Finance and Insurance Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",33755,"Population Working in the Information Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28574,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",478,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",54742,"Population Working in Other Services, Except Public Administration"
"geoId/09","US-CT","Connecticut","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",73282,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",7061,"Utilities Workers"
"geoId/09","US-CT","Connecticut","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",167018,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",19968,"Real Estate and Rental and Leasing Workers"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",56503,"Public Administration Workers"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",60761,"Wholesale Trade Workers"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",101447,"Professional, Scientific, and Technical Services Workers"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",31247,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/09","US-CT","Connecticut","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",4339,"Unclassified Workers"
