"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",1086445,"Population Working in the Accommodation and Food Services Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",721452,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSAgricultureForestryFishingHunting","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",67605,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",646245,"Population Working in the Construction Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",668453,"Population Working in the Educational Services Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",1401080,"Population Working in the Health Care and Social Assistance Industry"
"geoId/12","US-FL","Florida","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",426964,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/12","US-FL","Florida","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",455752,"Population Working in the Finance and Insurance Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",159232,"Population Working in the Information Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",279735,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",4219,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",297513,"Population Working in Other Services, Except Public Administration"
"geoId/12","US-FL","Florida","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",445582,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/12","US-FL","Florida","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",32369,"Utilities Workers"
"geoId/12","US-FL","Florida","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",1151857,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/12","US-FL","Florida","Count_Worker_NAICSRealEstateRentalLeasing","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",223358,"Real Estate and Rental and Leasing Workers"
"geoId/12","US-FL","Florida","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",483314,"Public Administration Workers"
"geoId/12","US-FL","Florida","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",394050,"Wholesale Trade Workers"
"geoId/12","US-FL","Florida","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",752506,"Professional, Scientific, and Technical Services Workers"
"geoId/12","US-FL","Florida","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",135165,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/12","US-FL","Florida","Count_Worker_NAICSNonclassifiable","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",30317,"Unclassified Workers"
