"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",76863,"Population Working in the Accommodation and Food Services Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",45836,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSAgricultureForestryFishingHunting","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",22225,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",65988,"Population Working in the Construction Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",71408,"Population Working in the Educational Services Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",121254,"Population Working in the Health Care and Social Assistance Industry"
"geoId/16","US-ID","Idaho","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",74026,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",28337,"Population Working in the Finance and Insurance Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",9969,"Population Working in the Information Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",14945,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",2866,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",22332,"Population Working in Other Services, Except Public Administration"
"geoId/16","US-ID","Idaho","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",30589,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",4066,"Utilities Workers"
"geoId/16","US-ID","Idaho","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",93153,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSRealEstateRentalLeasing","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",10250,"Real Estate and Rental and Leasing Workers"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",46163,"Public Administration Workers"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",35069,"Wholesale Trade Workers"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",51894,"Professional, Scientific, and Technical Services Workers"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",8434,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/16","US-ID","Idaho","Count_Worker_NAICSNonclassifiable","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",106,"Unclassified Workers"
