"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",178215,"Population Working in the Accommodation and Food Services Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",119141,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",9064,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",89943,"Population Working in the Construction Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",161843,"Population Working in the Educational Services Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",301888,"Population Working in the Health Care and Social Assistance Industry"
"geoId/21","US-KY","Kentucky","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",256515,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",73259,"Population Working in the Finance and Insurance Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",25384,"Population Working in the Information Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28228,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",8344,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",47489,"Population Working in Other Services, Except Public Administration"
"geoId/21","US-KY","Kentucky","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",138872,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",12646,"Utilities Workers"
"geoId/21","US-KY","Kentucky","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",209007,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",22016,"Real Estate and Rental and Leasing Workers"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",91678,"Public Administration Workers"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",80311,"Wholesale Trade Workers"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",88041,"Professional, Scientific, and Technical Services Workers"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",22943,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/21","US-KY","Kentucky","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",879,"Unclassified Workers"
