"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/23","US-ME","Maine","Count_Worker_NAICSAccommodationFoodServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",50234,"Population Working in the Accommodation and Food Services Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",26140,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSAgricultureForestryFishingHunting","2022-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",9861,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSConstruction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",34749,"Population Working in the Construction Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSEducationalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",62602,"Population Working in the Educational Services Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSHealthCareSocialAssistance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",114926,"Population Working in the Health Care and Social Assistance Industry"
"geoId/23","US-ME","Maine","dc/ndg1xk1e9frc2","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",57559,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/23","US-ME","Maine","Count_Worker_NAICSFinanceInsurance","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",23131,"Population Working in the Finance and Insurance Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSInformation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",8534,"Population Working in the Information Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSArtsEntertainmentRecreation","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",10698,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",209,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSOtherServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",17682,"Population Working in Other Services, Except Public Administration"
"geoId/23","US-ME","Maine","dc/8p97n7l96lgg8","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",20274,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/23","US-ME","Maine","Count_Worker_NAICSUtilities","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",3052,"Utilities Workers"
"geoId/23","US-ME","Maine","dc/p69tpsldf99h7","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",79860,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/23","US-ME","Maine","Count_Worker_NAICSRealEstateRentalLeasing","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",7424,"Real Estate and Rental and Leasing Workers"
"geoId/23","US-ME","Maine","Count_Worker_NAICSPublicAdministration","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",28794,"Public Administration Workers"
"geoId/23","US-ME","Maine","Count_Worker_NAICSWholesaleTrade","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",18873,"Wholesale Trade Workers"
"geoId/23","US-ME","Maine","Count_Worker_NAICSProfessionalScientificTechnicalServices","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",32904,"Professional, Scientific, and Technical Services Workers"
"geoId/23","US-ME","Maine","Count_Worker_NAICSManagementOfCompaniesEnterprises","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",16821,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/23","US-ME","Maine","Count_Worker_NAICSNonclassifiable","2024-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",4302,"Unclassified Workers"
