"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",298461,"Population Working in the Accommodation and Food Services Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSAdministrativeSupportWasteManagementRemediationServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",188753,"Population Working in the Administrative and Support and Waste Management Services Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",12761,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",174138,"Population Working in the Construction Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSEducationalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",372243,"Population Working in the Educational Services Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",654893,"Population Working in the Health Care and Social Assistance Industry"
"geoId/25","US-MA","Massachusetts","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",237152,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",171759,"Population Working in the Finance and Insurance Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",101510,"Population Working in the Information Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",67949,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",905,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",116168,"Population Working in Other Services, Except Public Administration"
"geoId/25","US-MA","Massachusetts","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",110561,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",16324,"Utilities Workers"
"geoId/25","US-MA","Massachusetts","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",330067,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",49133,"Real Estate and Rental and Leasing Workers"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",142255,"Public Administration Workers"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",123800,"Wholesale Trade Workers"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",379364,"Professional, Scientific, and Technical Services Workers"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",69175,"Population Working in the Management of Companies and Enterprises Industry"
"geoId/25","US-MA","Massachusetts","Count_Worker_NAICSNonclassifiable","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",4,"Unclassified Workers"
