"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSAccommodationFoodServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",33541,"Population Working in the Accommodation and Food Services Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSAgricultureForestryFishingHunting","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5000,"Population Working in the Agriculture, Forestry, Fishing, and Hunting Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSConstruction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28266,"Population Working in the Construction Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSHealthCareSocialAssistance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",67640,"Population Working in the Health Care and Social Assistance Industry"
"geoId/38","US-ND","North Dakota","dc/ndg1xk1e9frc2","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",28483,"Population of Person: Manufacturing (NAICS/31-33)"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSFinanceInsurance","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",17397,"Population Working in the Finance and Insurance Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSInformation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5791,"Population Working in the Information Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSArtsEntertainmentRecreation","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",11765,"Population Working in the Arts, Entertainment, and Recreation Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSMiningQuarryingOilGasExtraction","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",18110,"Population Working in the Mining, Quarrying, and Oil and Gas Extraction Industry"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSOtherServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",11800,"Population Working in Other Services, Except Public Administration"
"geoId/38","US-ND","North Dakota","dc/8p97n7l96lgg8","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",19347,"Population of Person: Transportation And Warehousing (NAICS/48-49)"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSUtilities","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",3575,"Utilities Workers"
"geoId/38","US-ND","North Dakota","dc/p69tpsldf99h7","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",45362,"Population of Person: Retail Trade (NAICS/44-45)"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSRealEstateRentalLeasing","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",5724,"Real Estate and Rental and Leasing Workers"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSPublicAdministration","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",23675,"Public Administration Workers"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSWholesaleTrade","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",23867,"Wholesale Trade Workers"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSProfessionalScientificTechnicalServices","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",17508,"Professional, Scientific, and Technical Services Workers"
"geoId/38","US-ND","North Dakota","Count_Worker_NAICSManagementOfCompaniesEnterprises","2023","BLS_QCEW","https://www.bls.gov/qcew/","","","",4495,"Population Working in the Management of Companies and Enterprises Industry"
