"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",898,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",844,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",809,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",833,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",810,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",871,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",831,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",834,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",783,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",793,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",854,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1990-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",870,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",799,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",712,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",676,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",615,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",604,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",630,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",721,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",733,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",715,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1991-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",690,"Population of Person: Fishing (NAICS/1141)"
