"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2005-03","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",11450600000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2005-06","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",11100500000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2005-09","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",11707200000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2005-12","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",11815300000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2006-03","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12287100000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2006-06","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12807200000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2006-09","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12847000000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2006-12","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12741400000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2007-03","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12287800000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
"geoId/12","US-FL","Florida","USStateQuarterlyIndustryGDP_NAICS_311_316_322_326","2007-06","BEA_USStatesQuarterlyGDP","https://www.bea.gov/data/gdp/gdp-state","","USDollar","USD",12969300000,"Amount of Economic Activity (Nominal): Gross Domestic Production, Durable Goods Manufacturing (NAICS/311-316_322-326)"
