Fips,Location,TimeFrame,Data Type,Data
01,Alabama,2023,Number,0.4771,
02,Alaska,2023,Number,0.4492,
04,Arizona,2023,Number,0.465,
05,Arkansas,2023,Number,0.474,
06,California,2023,Number,0.487,
08,Colorado,2023,Number,0.4575,
09,Connecticut,2023,Number,0.4954,
10,Delaware,2023,Number,0.4557,
11,Dist. of Columbia,2023,Number,0.5163,
12,Florida,2023,Number,0.4829,
13,Georgia,2023,Number,0.4787,
15,Hawaii,2023,Number,0.4512,
16,Idaho,2023,Number,0.4404,
17,Illinois,2023,Number,0.481,
18,Indiana,2023,Number,0.4536,
19,Iowa,2023,Number,0.4464,
20,Kansas,2023,Number,0.4518,
21,Kentucky,2023,Number,0.4759,
22,Louisiana,2023,Number,0.4967,
23,Maine,2023,Number,0.4509,
24,Maryland,2023,Number,0.4561,
25,Massachusetts,2023,Number,0.4879,
26,Michigan,2023,Number,0.4658,
27,Minnesota,2023,Number,0.4541,
28,Mississippi,2023,Number,0.4843,
29,Missouri,2023,Number,0.4608,
30,Montana,2023,Number,0.4601,
31,Nebraska,2023,Number,0.4634,
32,Nevada,2023,Number,0.4632,
33,New Hampshire,2023,Number,0.4446,
34,New Jersey,2023,Number,0.4794,
35,New Mexico,2023,Number,0.4771,
36,New York,2023,Number,0.5157,
37,North Carolina,2023,Number,0.4732,
38,North Dakota,2023,Number,0.4451,
39,Ohio,2023,Number,0.4695,
40,Oklahoma,2023,Number,0.4737,
41,Oregon,2023,Number,0.4636,
42,Pennsylvania,2023,Number,0.4774,
44,Rhode Island,2023,Number,0.4661,
45,South Carolina,2023,Number,0.4715,
46,South Dakota,2023,Number,0.462,
47,Tennessee,2023,Number,0.476,
48,Texas,2023,Number,0.479,
49,Utah,2023,Number,0.4225,
50,Vermont,2023,Number,0.4549,
51,Virginia,2023,Number,0.4723,
53,Washington,2023,Number,0.4703,
54,West Virginia,2023,Number,0.4679,
55,Wisconsin,2023,Number,0.4479,
56,Wyoming,2023,Number,0.4455,
